CASNO	Substances
52304-36-6	".beta.-Alanine, N-acetyl-N-butyl-, ethyl ester"
52305-09-6	"Butanedioic acid, (tetrapropenyl)-, monoester with 1,2-propanediol"
52309-41-8	"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.,.alpha.'-(1-methyl-1,2-ethanediyl)bis[.omega.-hydroxy-"
52315-07-8	"Cyclopropanecarboxylic acid, 3-(2,2-dichloroethenyl)-2,2-dimethyl-, cyano(3-phenoxyphenyl)methyl ester"
52320-66-8	"Butanamide, 2-[(4-chloro-2-nitrophenyl)azo]-N-(4-ethoxyphenyl)-3-oxo-"
52333-30-9	"2-Naphthalenesulfonic acid, 5,5'-[(1-methylethylidene)bis(4,1-phenyleneoxysulfonyl-2,1-phenyleneazo)]bis[6-amino-4-hydroxy-, disodium salt"
52338-87-1	"Urea, N,N'-bis[3-(dimethylamino)propyl]-"
52357-41-2	"2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, (chloromethyl)ethenylbenzene and ethyl 2-propenoate"
52357-70-7	Iron oxide brown
52372-39-1	"7H-[1]Benzopyrano[3',2':3,4]pyrido[1,2-a]benzimidazole-6-carbonitrile, 3-(diethylamino)-7-imino-"
52383-89-8	"Dodecanoic acid, ethenyl ester, polymer with chloroethene and ethene"
52383-91-2	"2-PROPENOIC ACID, 2-METHYL-, BUTYL ESTER, POLYMER WITH 2-ETHYLHEXYL 2-PROPENOATE AND METHYL 2-METHYL-2-PROPENOATE"
52392-55-9	"1,4-Benzenedicarboxylic acid, 1-butyl 4-methyl ester"
52404-32-7	"2-Propenoic acid, 2-hydroxyethyl ester, polymer with 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane and 2-oxopanon"
52404-33-8	"2-Propenoic acid, 2-hydroxyethyl ester, polymer with 1,1'-methylenebis[4-isocyanatocyclohexane] and 2-oxepanone"
52408-42-1	"2-Propenoic acid, 1,4-butanediylbis[oxy(2-hydroxy-3,1-propanediyl)] ester"
52408-84-1	"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.,.alpha'.,.alpha''.-1,2,3-propanetriyl tris[.omega.-[(1-oxo-2-propenyl)oxy]-"
52409-10-6	"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.,.alpha.',.alpha.''-1,2,3-propanetriyltris[.omega.-hydroxy-, polymer with 1,1'-methylenebis[4-isocyanatobenzene]"
52411-33-3	"Benzenamine, 2,2'-[1,2-ethanediylbis(thio)]bis-"
52434-90-9	"1,3,5-Triazine-2,4,6(1H,3H,5H)-trione, 1,3,5-tris(2,3-dibromopropyl)-"
52439-80-2	Amoco 9250
52440-26-3	Isopar H
52449-44-2	"Benzenepropanoic acid, 3,5-bis(1,1-dimethyl)-4-hydroxy-, butyl ester"
52450-80-3	"Guanidine, cyano-, polymer with 1,2-ethanediamine and formaldehyde"
52453-94-8	"1,3-Isobenzofurandione, polymer with 2,2-dimethyl-1,3-propanediol, 2,5-furandione and 1,2-propanediol"
52457-54-2	"Nonanedioic acid, dipotassium salt"
52457-55-3	"Decanedioic acid, dipotassium salt"
52460-86-3	"etyyli-2-kloori-2,2-difenyyliasetaatti"
52469-16-6	"BENZENESULFONAMIDE, POLYMER WITH FORMALDEHYDE AND 1,3,5-TRIAZINE-2,4,6-TRIAMINE"
52474-60-9	"3-Cyclohexene-1-carboxaldehyde, 1-methyl-3-(4-methyl-3-pentenyl)-"
52475-86-2	"3-Cyclohexene-1-carboxaldehyde, 1-methyl-4-(4-methyl-3-pentenyl)-"
52475-89-5	"3-Cyclohexene-1-carboxaldehyde, 3-(4-methyl-3-pentenyl)-"
52479-58-0	"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.,.alpha.'-(2,2-dimethyl-1,3-propanediyl)bis[.omega.-hydroxy-"
52483-84-8	"Phosphoric acid, mono(4-nitrophenyl) ester, compd. with cyclohexanamine (1:2)"
52497-46-8	"Benzenamine, 4,4'-carbonimidoylbis(N,N-dimethyl-, sulfate"
52499-94-2	"Benzenesulfonyl chloride, pentamethyl-"
52500-92-2	"2,5-Furandione, telomer with ethenylbenzene and (1-methylethyl)benzene, sodium salt"
52501-07-2	"Aziridine, polymer with methyloxirane and oxirane"
52502-12-2	nikkelidivanadiiniheksaoksidi
52502-86-0	"Niobium tantalum carbide ((Nb,Ta)C)"
52503-15-8	"Poly(oxy-1,2-ethanediyl), .alpha.-(nonylphenyl)-.omega.-hydroxy-, phosphate, potassium salt"
52503-24-9	"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-hydro-.omega.-hydroxy-, phosphate"
52503-44-3	"Oxirane, methyl-, polymer with oxirane, di-2-propenoate"
52503-47-6	"OXIRANE, METHYL-, POLYMER WITH OXIRANE, 1,2-ETHANEDIYLBIS(NITRILODIALKYLENE) ETHER"
52503-51-2	"*udgået, se CASnr. 37311-02-7 (2)"
52504-24-2	SOFTIGEN 767
52504-28-6	THIXATROL
52509-84-9	"Benzoic acid, 4-(1,1-dimethylethyl)-, calcium salt"
52517-67-6	"Undecane, 1,1-dimethoxy-"
52522-02-8	"2-PROPENOIC ACID, 2-METHYL-, METHYL ESTER, POLYMER WITH BUTYL 2-PROPENOATE, ETHENYLBENZENE, 1,2-PROPANEDIOL MONO-2-PROPENOATE AND 2-PROPENOIC ACID"
52550-44-4	"Poly(oxy-1,2-ethanediyl), a-(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)-?-hydroxy-"
52556-42-0	"1-Propanesulfonic acid, 2-hydroxy-3-(2-propenyloxy)-, monosodium salt"
52557-97-8	"Bicyclo[2.2.1]heptane-2-carboxylic acid, 3,3-dimethyl-, methyl ester"
52561-72-5	"propanoic acid, 2,2-dimethyl-, oxiranylmethyl ester"
52581-71-2	"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-9-octadecenyl-.omega.-hydroxy-, (Z)-"
52583-35-4	"N-(5-(Bis(2-metoksietyyli)amino)-2-((2-syaani-4,6-dinitrofenyyli)-atso)fenyyli)asetamidi"
52587-68-5	"Chromate(2-), [3-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-4-hydroxybenzenesulfonato(3-)][1-[[2-hydroxy-5-(phenylazo)phenyl]azo]-2-naphthalenolato(2-)]-, disodium"
52590-55-3	"1,4-Butanediol, polymer with .alpha.-hydro-.omega.-hydroxypoly(oxy-1,2-ethanediyl) and 1,1'-methylenebis[4-isocyanatobenzene]"
52603-48-2	"2,4-THIOPHENEDICARBONITRILE, 5-AMINO-3-METHYL"
52609-19-5	"Poly(oxy-1,2-ethanediyl), .alpha.-(2-hexyldecyl)-.omega.-hydroxy-"
52610-81-8	"Nickel, bis(diethylcarbamodithioato-S,S')-"
52623-66-2	BENTONITT
52623-95-7	"Poly(oxy-1,2-ethanediyl), .alpha.-[(1,1,3,3-tetramethylbutyl)phenyl]-.omega.-hydroxy-, phosphate"
52624-57-4	"Oxirane, methyl-, polymer with oxirane, ether with 2-ethyl-2-(hydroxymethyl)-1,3-propanediol (3:1)"
52625-13-5	"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-hydro-.omega.-hydroxy-, ether with D-glucitol (6:1)"
52625-25-9	"nikkeli-3,5-bis(tert-butyyli)-4-hydroksibentsoaatti (1:2)"
52627-34-6	"Phenol, polymer with formaldehyde, glycidyl ether, methacrylate (IECSC)"
52628-03-2	"2-Propenoic acid, 2-methyl-, 2-hydroxyethyl ester, phosphate"
52628-25-8	Ammonium zinc chloride
52635-70-8	"Cyanamide, cyano-, polymer with formaldehyde"
52636-92-7	"OCTANOIC ACID, 2,2-DIMETHYL-, OXIRANYLMETHYL ESTER"
52640-81-0	"2-Propenoic acid, polymer with 2-ethylhexyl 2-propenoate, ethyl 2-propenoate, N-(hydroxymethyl)-2-propenamide and 2-propenenitrile"
52642-40-7	"1,2-Benzenedicarboxylic acid, sulfo-, trisodium salt"
52642-45-2	"BUTANEDIOIC ACID, SULFO-, 1,4-DIISODECYL ESTER"
52645-53-1	"Cyclopropanecarboxylic acid, 3-(2,2-dichloroethenyl)-2,2-dimethyl-, (3-phenoxyphenyl)methyl ester"
52658-19-2	"7,7,9-trimetyyli-3,14-dioksa-4,13-diokso-5,12-diatsaheksadekaani-1,16-diyyli-prop-2-eniaatti"
52658-20-5	"Ethanol, 2-[2-[2-[2-(tributylphenoxy)ethoxy]ethoxy]ethoxy]-, dihydrogenphosphate"
52663-57-7	"Ethanol, 2-butoxy-, sodium salt"
52663-60-2	"1,1'-BIPHENYL, 2,2',3,3',6-PENTACHLORO-"
52663-81-7	"1,2-BENZENEDIOL, 4-(2-((3-(4-HYDROXYPHENYL)-1-METHYLPROPYL)AMINO)ETHYL)-, HYDROCHLORIDE, (.PM.)-"
52663-87-3	".beta.-Alanine, N-(2-carboxyethyl)-N-octyl-"
52667-88-6	"1,4,7,10-tetrakis(p-tolueenisulfonyyli)-1,4,7,10-tetra-atsasyklododekaani"
52668-97-0	"Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecenyl)-.omega.-[(1-oxooctadecenyl)oxy]-"
52683-23-5	"Poly(oxy-1,2-ethanediyl), alpha-(2-oxiranylmethyl)-omega-(2-propen-1-yloxy)-"
52683-35-9	ROSKYDAL 500A
52685-22-0	"2-Propenoic acid, 2-methyl-, methyl ester, polymer with butyl 2-propenoate, ethenylbenzene and N-(hydroxymethyl)-2-propenamide"
52697-38-8	"Acetamide, N-[2-[(2-bromo-4,6-dinitrophenyl)azo]-5-(diethylamino)phenyl]-"
52719-10-5	"Poly(oxy(methyl-1,2-ethanediyl)), .slpha.,.alpha.',.alpha.''-1,2,3-propanetriyltris(.omega.-hydroxy-, polymer with 2,4-diisocyananto-1-methylbenzene and .alpha.-hydro-.omega.-hydroxypoly(oxy(methyl-1,2-ethanediyl))"
52720-34-0	"2,5-Furandione, telomer with ethenylbenzene and (1-methylethyl)benzene, ammonium salt"
52722-38-0	"Methanamine, N-methyl-, polymer with ammonia and (chloromethyl)oxirane"
52722-86-8	"1-Piperidineethanol, 4-hydroxy-2,2,6,6-tetramethyl-"
52729-96-1	"2-PROPENOIC ACID 2-METHYL- METHYL ESTER, POLYMER WITH N-(BUTOXYMETHYL)-2-METHYL-2-PROPENAMIDE, ETHENYLBENZENE, 2-ETHYLHEXYL 2-PROPENOATE AND 1,2-PROPANEDIOL MONO-2-PROPENOATE"
52732-72-6	"Sulfuric acid, lead salt, tetrabasic"
52733-73-0	"1,3-Butanediol, polymer with 1,1'-methylenebis[4-isocyanatobenzene], 2,2'-oxybis[ethanol] and 1,2-propanediol"
52734-36-8	"2-Propenoic acid, 2-methyl-, 2-(3-oxazolidinyl)ethyl ester, homopolymer"
52735-12-3	"hexanedioic acid, polymer with 1,4-butanediol, 1,3-diisocyanatomethylbenzene, 1,6-hexanediol and 1,1'-methylenebis[4-isocyanatobenzene]"
52738-34-8	"2-Propenoic acid, 2-methyl-, polymer with butyl 2-methyl-2-propenoate, butyl 2-propenoate, ethenylbenzene and 1,2-propanediol mono(2-methyl-2-propenoate)"
52738-99-5	Isooctanal
52739-00-1	"2,5-Furandione, polymer with 1,1'-[(1-methylethylidene)bis(4,1-phenyleneoxy)]bis[2-propanol]"
52747-01-0	"Propanol, [(1-methyl-1,2-ethanediyl)bis(oxy)]bis-, polymer with 1,1'-methylenebis[4-isocyanatobenzene]"
52756-25-9	"DL-Alanine, N-benzoyl-N-(3-chloro-4-fluorophenyl)-, methyl ester"
52769-39-8	"1H-1,2,4-Triazolium, dimethyl-3-[[4-[methyl(phenylmethyl)amino]phenyl]azo]-, trichlorozincate(1-)"
52783-21-8	1-(2-isopropyylifenyyli)-1-fenyylietaani
52785-06-5	Platinum dioxide
52819-96-2	"CYCLOPENTA(C)FURO(3',2':4,5)FURO(2,3-H)(1)BENZOPYRAN-1,11-DIONE, 2,3,6A,9A-TETRAHYDRO-3-HYDROXY-4-METHOXY-, (3S-(3-ALPHA,6A-ALPHA,9A-ALPHA))"
52820-00-5	"CYCLOPROPANECARBOXYLIC ACID, 3-(2,2-DIBROMOETHENYL)-2,2-DIMETHYL-, CYANO(3-PHENOXYPHENYL)METHYL ESTER"
52821-24-6	"1H-Benz[de]isoquinoline-1,3(2H)-dione, 2-(3-hydroxypropyl)-6-[(3-hydroxypropyl)amino]-"
52825-28-2	"1-Propanesulfonic acid, 2-methyl-2-[(1-oxo-2-propenyl)amino]-, monopotassium salt"
52825-46-4	"Acetic acid ethenyl ester, polymer with ethene and sodium 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-1-propanesulfonate (1:1)"
52826-16-1	"Poly(oxy-1,2-ethanediyl), .omega.-hydroxy-.omega.'-[(1-oxooctadecyl)oxy]-.alpha.,.alpha.'-1,4-butanediylbis-"
52829-07-9	"Decanedioic acid, bis(2,2,6,6-tetramethyl-4-piperidinyl) ester"
52831-04-6	"2-Propenoic acid, polymer with ethenylbenzene and (1-methylethenyl)benzene"
52831-07-9	"Butanedioic acid, methylene-, polymer with 1,3-butadiene, ethenylbenzene and 2-methyl-2-propenoic acid"
52845-07-5	Isoeicosane
52846-56-7	"Butanamide, N-(2,3-dihydro-2-oxo-1H-benzimidazol-5-yl)-2-[(4-nitrophenyl)azo]-3-oxo-"
52856-75-4	"hexanoic acid, 2-ethyl-, ethenyl ester, polymer with ethene and ethenyl acetate"
52870-46-9	"N-(1,3-Dimetyylibutyyli)-N’-(fenyyli)-1,4-bentsokinonidi-imiini"
52880-57-6	"2-Propenoic acid, homopolymer, compd. with 2,2',2''-nitrilotris[ethanol]"
52888-80-9	"Carbamothioic acid, dipropyl-, S-(phenylmethyl) ester"
52894-02-7	bis(2-etyyliheksyyli)oktyylifosfonaatti
52898-18-7	"1,3-Propanediamine, N-[3-(dodecyloxy)propyl]-"
52900-12-6	"1-Tetradecanaminium, N,N-bis(2-hydroxyethyl)-1-oxo-N-(1-oxododecyl)-, hydroxide, inner salt"
52906-93-1	"Starch, hydrogen octenylbutanedioate"
52907-07-0	"4,7-Methano-1H-isoindole-1,3(2H)-dione, 2,2'-(1,2-ethanediyl)bis[5,6-dibromohexahydro-"
52907-72-9	GENAPOL PN 30 (9CI)
52907-82-1	"Phenol, 4,4'-(1-methylethylidene)bis-, polymer with (chloromethyl)oxirane, benzoate"
52918-63-5	"Cyclopropanecarboxylic acid, 3-(2,2-dibromoethenyl)-2,2-dimethyl-, cyano(3-phenoxyphenyl)methyl ester, [1R-[1.alpha.(S*),3.alpha.]]-"
52933-02-5	"Phosphoric acid, bis(2-ethylhexyl) ester, mixt. with mono(2-ethylhexyl) phosphate"
52933-07-0	"Phosphoric acid, isotridecyl ester"
52972-89-1	"adipinsyre/2,2'-oxydiethanol/propylenglycol polymer"
52985-33-8	"2-Propenoic acid, polymer with 2,2'-[(1-methylethylidene)bis(4,1-phenyleneoxymethylene)]bis[oxirane]"
52991-46-5	"Octadecanoic acid, chloro-, chromium salt"
53018-24-9	"4,7-Methano-1H-indene, 3a,4,5,6,7,7a-hexahydro-5-methoxy-"
53019-53-7	"Oxazolidine, 4-ethyl-"
53026-67-8	"Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, ether with methyl D-glucopyranoside (4:1)"
53026-85-0	Aluminum chlorohydrex
53027-87-5	DION DPM 3-800LC
53033-54-8	"ANTHRACENEDISULFONAMIDE, 9,10-DIHYDRO-N,N'-DIMETHYL-9,10-DIOXO-2,6-"
53037-34-6	"Urea, polymer with ethanedial"
53038-15-6	"2-Propenoic acid, 2-methyl-, butyl ester, polymer with ethenylbenzene, 2-hydroxyethyl 2-methyl-2-propenoate, methyl 2-methyl-2-propenoate and 2-methylpropyl 2-methyl-2-propenoate"
53040-75-8	"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-(dodecylphenyl)-.omega.-hydroxy-"
53046-20-1	"BENZENE, 1-METHYL-3-((4-METHYLPHENYL)SULFONYL)-"
53050-46-7	"2,7-Naphthalenedisulfonic acid, 4-amino-3-[[4-[(2,4-diaminophenyl)azo]phenyl]azo]-5-hydroxy-6-[(4-sulfophenyl)azo]-, trisodium salt"
53092-85-6	"Phenothiazin-5-ium, 3,7-bis(dimethylamino)-, chloride mixt.with 3,7-diaminophenothiazin-5-ium chloriide and 2',4',5',7'-tetrabromo-3',6'-dihydroxyspiro[isobenzofuran-1(3H),9'-[9H]xanthen]-3-one disodiium salt"
53112-28-0	"2-Pyrimidinamine, 4,6-dimethyl-N-phenyl-"
53124-00-8	"Starch, hydrogen phosphate, 2-hydroxypropyl ether"
53126-06-0	"Phosphoric acid, butyl ester, potassium salt"
53126-67-3	"Phosphoric acid, butyl ester, sodium salt"
53135-64-1	"1-Propyne, 3-propoxy-"
53142-55-5	Acryloid 710
53148-86-0	MERSOLAT H
53148-87-1	Synolide 960
53152-21-9	
53164-05-9	"1H-Indole-3-acetic acid, 1-(4-chlorobenzoyl)-5-methoxy-2-methyl-, carboxymethyl ester"
53188-07-1	"2H-1-Benzopyran-2-carboxylic acid, 3,4-dihydro-6-hydroxy-2,5,7,8-tetramethyl-, (.+-.)-"
53192-18-0	"2-Propenoic acid, polymer with 2-ethyl-2-(hydroxymethyl)-1,3-propanediol and 3a,4,7,7a-tetrahydro-1,3-isobenzofurandione"
53196-70-6	"2-Propenoic acid, 2-methyl-, 1,2-ethanediyl ester, polymer with ethenylbenzene and methyl 2-methyl-2-propenoate"
53197-06-1	"2-PROPENOIC ACID 2-METHYL- METHYL ESTER, POLYMER WITH 2-ETHYLHEXYL 2-PROPENOATE AND 2-HYDROXYETHYL 2-PROPENOATE"
53202-61-2	"10-Oxa-4,6-dithia-5-stannahexadecanoic acid, 5,5-dibutyl-12-ethyl-9-oxo-, 2-ethylhexyl ester"
53219-21-9	"7-Octen-2-ol, 2-methyl-6-methylene-, dihydro deriv."
53243-59-7	"2-Pentenenitrile, 3-methyl-5-phenyl-, (Z)-"
53243-60-0	"2-Pentenenitrile, 3-methyl-5-phenyl-, (E)-"
53250-83-2	2-kloori-4-(metyylisulfonyyli)bentsoehappo
53295-04-8	"Chromate(3-), bis[4-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-3-hydroxy-1-naphthalenesulfonato(3-)]-, trihydrogen"
53306-54-0	"1,2-Benzenedicarboxylic acid, bis(2-propylheptyl) ester"
53317-61-6	"1,3-Propanediol, 2-ethyl-2-(hydroxymethyl)-, polymer with 1,3-diisocyanatomethylbenzene and 2,2'-oxybis[ethanol]"
53320-86-8	"Silicic acid, lithium magnesium sodium salt"
53362-86-0	"Xylosidase, .alpha.-"
53364-04-8	
53378-51-1	"Phosphorodithioic acid, O,O-bis(2-methylpropyl) ester, sodium salt"
53404-28-7	"3,6-dikloori-o-anishappo, 2-aminoetanoliyhdiste (1:1)"
53408-94-9	"Methanesulfonic acid, tin(2+) salt"
53417-61-1	"1,3-isobenzofurandione, 3a,4,7,7a-tetrahydro-, polymer with 1,2-ethanediol, 2,5-furandione, 2,2'-oxybis(ethanol) and 1,2-propanediol"
53422-16-5	"Octadecanoic acid, 12-hydroxy-, methyl ester, lithium salt"
53424-30-9	"1,3-Propanediol, 2-ethyl-2-(hydroxymethyl)-, polymer with methyloxirane, oxirane and 1,2-propanediol"
53426-99-6	"Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, polymer with 1,3-diisocyanatomethylbenzene and 2-ethyl-2-(hydroxymethyl)-1,3-propanediol"
53448-53-6	"D-Xylitol, 1,4-anhydro-"
53452-53-2	"Urea, butyl-, polymer with formaldehyd"
53452-65-6	"Quinoline, butyl-"
53465-22-8	"1,2-Propanediol, polymer with 1,1'-methylenebis[4-isocyanatocyclohexane]"
53469-20-8	"*UDGÅET, SE CASNR. 1335-30-4 (6)"
53469-21-9	PCB 1242
53504-41-9	"2-Oxepanone, polymer with 1,4-butanediol and 1,1'-methylenebis[4-isocyanatocyclohexane]"
53515-73-4	"2-Propenoic acid, 2-methyl-, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctyl ester, polymer with 2-propenoic acid"
53518-00-6	"1-Propanaminium, N,N,N-trimethyl-3-[[(nonafluorobutyl)sulfonyl]amino]-, chloride"
53520-67-5	"2,5-Furandione, 3-(eicosenyl)dihydro-"
53521-12-3	"Phenol, compd. with 1H-benzotriazole"
53529-03-6	Aminolignin
53563-70-5	"Poly(oxy-1,2-ethanediyl), .alpha.-(carboxymethyl)-.omega.-(octyloxy)-"
53568-66-4	"CELLULOSE, MODIFICATION. 2-HYDROXYETHYL 2-(2-HYDROXY-3-(TRIMETHYLAMMONIO)PROPOXY(ETHYL2 2-HYDROXY-3-(TRIMETHYLAMMONIO(PROPYL ETHER, CHLORIDE"
53584-57-9	"4,7-Methanoisobenzofuran-1,3-dione, 3a,4,7,7a-tetrahydromethyl-, (3a.alpha.,4.beta.,7.beta.,7a.alpha.)-"
53620-54-5	"Octadecanamide, N,N'-[1,2-ethanediylbis(imino-2,1-ethanediyl)]bis-"
53621-34-4	"2-Propenoic acid, 2-methyl-, 2-(sulfooxy)ethyl ester, ammonium salt"
53633-54-8	"2-Propenoic acid, 2-methyl-, 2-(dimethylamino)ethyl ester, polymer with 1-ethenyl-2-pyrrolidinone, compd. with diethyl sulfate"
53637-25-5	"Oxirane, methyl-, polymer with oxirane, ether with 1,2-propanediol (2:1)"
53641-10-4	"N,N'-(2-kloori-1,4-fenyleeni)bis(3-oksobutanamidi)"
53679-54-2	"Hydrazine, polymer with 1,3-diisocyanatomethylbenzene"
53694-15-8	"Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, ether with D-glucitol (6:1)"
53694-17-0	"2-Propen-1-aminium, N,N-dimethyl-N-2-propenyl-, chloride, polymer with 2-propenoic acid"
53705-45-6	"Hexanoic acid, 2,5,5-trimethyl-"
53710-52-4	"2-Propenoic acid, 2-hydroxypropyl ester, polymer with chloroethene"
53716-49-7	"9H-Carbazole-2-acetic acid, 6-chloro-.alpha.-methyl-, (.+-.)-"
53742-07-7	"1,1'-Biphenyl, nonachloro-"
53746-22-8	"2-Propenoic acid, telomer with 1-dodecanethiol and 2-propenenitrile, potassium salt"
53767-93-4	"7-Octen-2-ol, 2,6-dimethyl-, acetate"
53795-85-0	DESMOPHEN 1150
53801-42-6	Acyloid B 67
53801-45-9	Zirconium oxide
53802-03-2	C.I. Solvent Red 109
53808-40-5	"1,4-Benzenedicarboxylic acid, polymer with 2,2-dimethyl-1,3-propanediol and 2-ethyl-2-(hydroxymethyl)-1,3-propanediol"
53808-41-6	"1,3-Benzenedicarboxylic acid, polymer with 1,4-benzenedicarboxylic acid, 2,2-dimethyl-1,3-propanediol and 2-ethyl-2-(hydroxymethyl)-1,3-propanediol"
53808-42-7	"1,4-BENZENEDICARBOXLYLIC ACID, POLYMER WITH 2,2-DIMETHYL-1,3-PROPANEDIOL, 1,2-ETHANEDIOL AND 2-ETHYL-2-(HYDROXYMETHYL)-1,3-PROPANEDIOL"
53810-32-5	Aluminum hydroxide sulfate
53814-24-7	"Phenol, 4,4'-(1-methylethylidene)bis-, polymer with (chloromethyl)oxirane, di-2-propenoate"
53817-59-7	"2-Butenedioic acid (Z)-, diisotridecyl ester"
53817-89-3	"Benzenesulfonic acid, hydroxy-, polymer with formaldehyde, phenol and urea"
53832-00-1	"2-Butenedioic acid (E)-, polymer with 1,3-butadiene, ethenylbenzene and methyl 2-methyl-2-propenoate"
53837-34-6	"5,9-Undecadien-2-ol, 6,10-dimethyl-"
53845-64-0	"1-PROPANESULFONIC ACID, 2-METHYL-2-((1-OXO-2-PROPENYL)AMINO)-, MONOSODIUM SALT, POLYMER WITH 1-ETHENYL-2-PYRROLIDINONE"
53850-34-3	"Proteins, thaumatins"
53858-79-0	Dyapol PT
53858-87-0	POLYOKSIETYLENISOTRIDECYLETER
53860-05-2	"Azetidine, homopolymer"
53862-89-8	"Isocyanic acid, polymethylenepolyphenylene ester, polymer with .alpha.-hydro-.omega.-hydroxypoly[oxy(methyl-1,2-ethanediyl)]"
53863-99-3	"Silane, bis[(1,1-dimethyl-2-propynyl)oxy]dimethyl-"
53874-66-1	"Benzene, 1-(chloromethyl)-3-phenoxy-"
53879-54-2	"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-hydro-.omega.-[(1-oxo-2-propenyl)oxy]-, ether with 2-ethyl-2-(hydroxymethyl)-1,3-propanediol (3:1)"
53880-05-0	"Cyclohexane, 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethyl-, homopolymer"
53880-86-7	"Thioperoxydicarbonic diamide, dimethyldiphenyl-"
53894-23-8	"1,2,4-Benzenetricarboxylic acid, triisononyl ester"
53895-32-2	"Cyclohexane, 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethyl-, trimer"
53918-03-9	"1H-Benzimidazole-5-sulfonic acid, 2,3-dihydro-2-thioxo-, monosodium salt"
53924-05-3	"1H-Indole, 7-chloro-"
53933-48-5	hydroksylamiini-4-metyylibentseenisulfonaatti
53956-04-0	".alpha.-D-Glucopyranosiduronic acid, (3.beta.,20.beta.)-20-carboxy-11-oxo-30-norolean-12-en-3-yl 2-O-.beta.-D-glucopyranuronosyl-, ammoniate"
53964-94-6	"Poly(oxy-1,2-ethanediyl), .alpha.-[bis(1-methylpropyl)phenyl]-.omega.-hydroxy-"
53980-88-4	"2-Cyclohexene-1-octanoic acid, 5(or 6)-carboxy-4-hexyl-"
53988-05-9	"Isononanoic acid, calcium salt"
53988-06-0	"Isononanoic acid, zinc salt"
53988-10-6	"2H-Benzimidazole-2-thione, 1,3-dihydro-4(or 5)-methyl-"
53988-60-6	C.I. Disperse Blue 62
53988-93-5	"MANGANESE, ((1,2-ETHANEDIYLBIS(CARBAMODITHIOATO))(2-))-, MIXT. WITH ((1,2-ETHANEDIYLBIS(CARBAMODITHIOATO))(2-))COPPER"
54006-79-0	2-OXEPANONE DIHYDROXY-
54010-71-8	"D-Glucose, 6-(dihydrogen phosphate), monosodium salt"
54018-34-7	Petronate
54060-92-3	"3H-Indolium, 2-[[(4-methoxyphenyl)methylhydrazono]methyl]-1,3,3-trimethyl-, methyl sulfate"
54063-53-5	"1-Propanone, 1-[2-[2-hydroxy-3-(propylamino)propoxy]phenyl]-3-phenyl-"
54068-28-9	"Tin, dioctylbis(2,3-pentanedionato-,kappa.Ó2,.kappa.O4)-"
54076-97-0	"Ethanaminium, N,N,N-trimethyl-2-[(1-oxo-2-propenyl)oxy]-, chloride, homopolymer"
54079-53-7	"Propanedinitrile, [[4-[[2-(4-cyclohexylphenoxy)ethyl]ethylamino]-2-methylphenyl]methylene]-"
54082-68-7	"5,9-Undecadienal, 2,6,10-trimethyl-"
54089-83-7	"Benzenepentanenitrile, .beta.-methyl-"
54115-51-4	"1-Propanamine, 3-(trimethoxysilyl)-, homopolymer"
54116-08-4	"Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-(tridecyloxy)-, sodium salt"
54140-78-2	"2-Propenoic acid, 2-methyl-, methyl ester, polymer with 1,1-dichloroethene, methyl 2-propenoate and 2-propenoic acid"
54141-09-2	"Butyne-1,4-diol"
54143-57-6	"BENZAMIDE, 4-AMINO-5-CHLORO-N-(2-(DIETHYLAMINO)ETHYL)-2-METHOXY-, MONOHYDROCHLORIDE, MONOHYDRATE"
54163-66-5	"Butanedioic acid, octenyl-, disodium salt"
54182-57-9	"*UDGÅET, SE CASNR. 9007-20-9"
54182-58-0	"Aluminum, hexadeca-.mu.-hydroxytetracosahydroxy[.mu.8-[1,3,4,6-tetra-O-sulfo-.beta.-D-fructofuranosyl .alpha.-D-glucopyranoside tetrakis(hydrogen sulfato)(8-)]]hexadeca-"
